id,title,login_require,overview,vote_average,adult,backdrop_path,movie_id,original_language,original_title,popularity,poster_path,release_date,video,vote_count,status,trailer_url
174,Minions: The Rise of Gru,0,"A fanboy of a supervillain supergroup known as the Vicious 6, Gru hatches a plan to become evil enough to join them, with the backup of his followers, the Minions.",7.335,0,/uMSxXLfH7v30gRNBqsQaSP3yqX5.jpg,438148,en,Minions: The Rise of Gru,158.471,/wKiOkZTN9lUUUNZLmtnwubZYONg.jpg,2022-06-29,0,3486,1,https://www.youtube.com/watch?v=HhIl_XJ-OGA
175,Overboard,0,"A spoiled, wealthy yacht owner is thrown overboard and becomes the target of revenge from his mistreated employee.",6.647,0,/xiw4mTeahSbFMUgxapE9lfrBTUd.jpg,454619,en,Overboard,170.834,/41Rzkgo9y7n6BNGD6O8j0LVs8Yu.jpg,2018-04-13,0,1342,1,https://www.youtube.com/watch?v=4TPJyx2Xljg
176,Wonder Woman,0,An Amazon princess comes to the world of Man in the grips of the First World War to confront the forces of evil and bring an end to human conflict.,7.226,0,/6iUNJZymJBMXXriQyFZfLAKnjO6.jpg,297762,en,Wonder Woman,152.573,/imekS7f1OuHyUP2LAiTEM0zBzUz.jpg,2017-05-30,0,19671,1,https://www.youtube.com/watch?v=VSB4wGIdDwo
178,Boy Kills World,0,"When his family is murdered, a deaf-mute named Boy escapes to the jungle and is trained by a mysterious shaman to repress his childish imagination and become an instrument of death.",6.865,0,/1m1rXopfNDVL3UMiv6kriYaJ3yE.jpg,882059,en,Boy Kills World,145.559,/25JskXmchcYwj3jHRmcPm738MpB.jpg,2024-04-24,0,384,1,https://www.youtube.com/watch?v=z6NibtjmjOk
179,Gone Girl,0,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",7.9,0,/h2JaQWLKhapm7AuSViJwGiv8ngC.jpg,210577,en,Gone Girl,147.465,/lv5xShBIDPe7m4ufdlV0IAc7Avk.jpg,2014-10-01,0,18286,1,
180,Twilight,0,"When Bella Swan moves to a small town in the Pacific Northwest, she falls in love with Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire. Despite Edward's repeated cautions, Bella can't stay away from him, a fatal move that endangers her own life.",6.3,0,/7eK8FJr4fqq3J5W2xvlr2GVaep2.jpg,8966,en,Twilight,140.183,/3Gkb6jm6962ADUPaCBqzz9CTbn9.jpg,2008-11-20,0,13259,1,https://www.youtube.com/watch?v=uxjNDE2fMjI
181,Boundless,0,"In a moment of cowardice, Detective Carl Mørck sends Rose, his junior colleague in Department Q, to the remote Danish island of Bornholm to answer his old colleague Christian Habersaat's repeated requests. But during his forced retirement ceremony Christian kills himself sending Rose into a journey deep into her own traumatic past. Later, Department Q are embroiled into an old cold case of a girl found dead hanging in a tree.",5.8,0,/m5xvBhmygdATTaehuGFjUwvDpLf.jpg,1078249,da,Den grænseløse,156.096,/3GBvlNiiKyNTph25cosMExP7vJX.jpg,2024-02-01,0,11,1,
182,Death Whisperer,0,"When a remote village is plagued by a deadly curse, one brother must fight to save his family from a terrifying supernatural threat.",7.588,0,/55hRgXkbvHoc9dL58S9HAGyxmZt.jpg,1134433,th,ธี่หยด,162.719,/48TDjSJpCdJ4SBOHZX3G5IjaV02.jpg,2023-10-25,0,131,1,https://www.youtube.com/watch?v=avtdfHis_3k
183,After the Pandemic,0,"Set in a post-apocalyptic world where a global airborne pandemic has wiped out 90% of the Earth's population and only the young and immune have endured as scavengers. For Ellie and Quinn, the daily challenges to stay alive are compounded when they become hunted by the merciless Stalkers.",4.904,0,/9c0lHTXRqDBxeOToVzRu0GArSne.jpg,935271,en,After the Pandemic,155.288,/p1LbrdJ53dGfEhRopG71akfzOVu.jpg,2022-03-01,0,73,1,https://www.youtube.com/watch?v=UZCVv3SFNtE
184,The Parent Trap,0,"Hallie Parker and Annie James are identical twins separated at a young age because of their parents' divorce. Unknowingly to their parents, the girls are sent to the same summer camp where they meet, discover the truth about themselves, and then plot with each other to switch places.",7.187,0,/udSev1YWgZv7KhaTV8HXnyNcFkD.jpg,9820,en,The Parent Trap,143.068,/a3XOGrrAjl1wwiumtACWBufg6AL.jpg,1998-07-28,0,4050,1,https://www.youtube.com/watch?v=PMAhVpgzmRU
185,Justice League: Crisis on Infinite Earths Part Two,0,"An endless army of shadow demons bent on the destruction of all reality swarms over our world and all parallel Earths! The only thing opposing them is the mightiest team of metahumans ever assembled. But not even the combined power of Superman, Batman, Wonder Woman, Green Lantern and all their fellow superheroes can slow down the onslaught of this invincible horde. What mysterious force is driving them? And how do the long-buried secrets of the Monitor and Supergirl threaten to crush our last defense?",7.003,0,/tBmJCH9llj1Q9jDOS7vGWnl7GVj.jpg,1209288,en,Justice League: Crisis on Infinite Earths Part Two,167.947,/g8ak4QAGLZpqMs3CpnFHWWfIzJQ.jpg,2024-04-23,0,146,1,https://www.youtube.com/watch?v=w6jtfmXziNQ
186,Mean Girls,0,"Cady Heron is a hit with The Plastics, the A-list girl clique at her new school, until she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George.",7.211,0,/6DqzZaTAzFrT53JtRt3MLKs0Y9i.jpg,10625,en,Mean Girls,133.244,/fXm3YKXAEjx7d2tIWDg9TfRZtsU.jpg,2004-04-30,0,8552,1,https://www.youtube.com/watch?v=EMzEmGfTuM4
187,The OctoGames,0,"Eight contestants compete in eight deadly, classic children's games. They seek fame beyond their wildest dreams, competing for the chance to take over the YouTube channel of the famous yet elusive masked content creator known only as ""JaxPro"".",5.43,0,/uFvYlyWN24gxkDIaWEmMuQMYbqB.jpg,1028703,en,The OctoGames,155.95,/qGz5rffXhegQH5PGUDiObqoOt06.jpg,2022-10-07,0,115,1,https://www.youtube.com/watch?v=luwZJPaNp7w
188,Iron Man,0,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",7.645,0,/cyecB7godJ6kNHGONFjUyVN9OX5.jpg,1726,en,Iron Man,165.401,/78lPtwv72eTNqFW9COBYI0dWDJa.jpg,2008-04-30,0,25987,1,https://www.youtube.com/watch?v=KAE5ymVLmZg
189,Teddy's Christmas,0,"While visiting a Christmas market in her Norwegian town, eight year old Mariann spots a talking teddy bear at a carnival game booth. However, when someone else wins it, she embarks on a quest to find the adorable bear that captured her heart.",7.083,0,/8FWC4tDWB1p006vwiubhai4a8iS.jpg,1020969,no,Teddybjørnens Jul,163.827,/jEf96axaZhZQEu9ORVtEujBTG9p.jpg,2022-11-05,0,42,1,https://www.youtube.com/watch?v=8k0zitO8g-c
190,Big Hero 6,0,"A special bond develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.",7.735,0,/4s2d3xdyqotiVNHTlTlJjrr3q0H.jpg,177572,en,Big Hero 6,163.395,/2mxS4wUimwlLmI1xp6QW6NSU361.jpg,2014-10-24,0,15356,1,https://www.youtube.com/watch?v=8IdMPpKMdcc
191,Emmanuelle 6,0,Journey with Emmanuelle and the world's most excuisite models deep into the Amazon jungle to the heart of paradise. Beauty can be dangerous and the women soon find themselves captive to a powerful drug lord. Now they must escape from a land of darkness,4.08,0,/jCnNP3ws6pGs2PhEGMJFr6aBYQF.jpg,61108,fr,Emmanuelle 6,162.941,/akhaTeqlNEqkyAVdmRWEUDTMUgK.jpg,1988-07-06,0,25,1,https://www.youtube.com/watch?v=iqQQXmI0TMw
192,The Flash,0,"When his attempt to save his family inadvertently alters the future, Barry Allen becomes trapped in a reality in which General Zod has returned and there are no Super Heroes to turn to. In order to save the world that he is in and return to the future that he knows, Barry's only hope is to race for his life. But will making the ultimate sacrifice be enough to reset the universe?",6.718,0,/yF1eOkaYvwiORauRCPWznV9xVvi.jpg,298618,en,The Flash,162.775,/rktDFPbfHfUbArZ6OOOKsXcv0Bm.jpg,2023-06-13,0,4061,1,https://www.youtube.com/watch?v=jprhe-cWKGs
193,Iron Man 2,0,"With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press and the public to share his technology with the military. Unwilling to let go of his invention, Stark, with Pepper Potts and James 'Rhodey' Rhodes at his side, must forge new alliances – and confront powerful enemies.",6.842,0,/7lmBufEG7P7Y1HClYK3gCxYrkgS.jpg,10138,en,Iron Man 2,162.737,/6WBeq4fCfn7AN0o21W9qNcRF2l9.jpg,2010-04-28,0,20666,1,https://www.youtube.com/watch?v=BoohRoVA9WQ
194,Top Gun: Maverick,0,"After more than thirty years of service as one of the Navy’s top aviators, and dodging the advancement in rank that would ground him, Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.",8.2,0,/AaV1YIdWKnjAIAOe8UUKBFm327v.jpg,361743,en,Top Gun: Maverick,162.58,/62HCnUTziyWcpDaBO2i1DX17ljH.jpg,2022-05-21,0,8873,1,https://www.youtube.com/watch?v=giXco2jaZ_4
195,Emmanuelle 7,0,"Through the wonders of virtual reality, Emmanuelle tries to help a former schoolmate to overcome a traumatic sexual past.",5.093,0,/mrspEgfpOFtGcX7f2mXUOQo10Dl.jpg,253935,fr,Emmanuelle au 7ème ciel,161.96,/gPW6G05OtNJsGDKmFZDmhuyQMbJ.jpg,1993-09-19,0,27,1,https://www.youtube.com/watch?v=v6qnDepuBiM
196,The Last Airbender,0,"The story follows the adventures of Aang, a young successor to a long line of Avatars, who must put his childhood ways aside and stop the Fire Nation from enslaving the Water, Earth and Air nations.",4.655,0,/7djEM68bL4pTTY1ZSdRb4LGG6pc.jpg,10196,en,The Last Airbender,161.592,/zgwRTYWEEPivTwjB9S03HtmMcbM.jpg,2010-06-30,0,3887,1,https://www.youtube.com/watch?v=WdoiHMCVqMQ
197,The Conjuring,0,"Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse. Forced to confront a powerful entity, the Warrens find themselves caught in the most terrifying case of their lives.",7.545,0,/aQCCpAIdWAp6wyFgjMry4okwrZo.jpg,138843,en,The Conjuring,161.429,/wVYREutTvI2tmxr6ujrHT704wGF.jpg,2013-07-18,0,11284,1,https://www.youtube.com/watch?v=k10ETZ41q5o
198,Woody Woodpecker Goes to Camp,0,"After getting kicked out of the forest, Woody thinks he's found a forever home at Camp Woo Hoo — until an inspector threatens to shut down the camp.",6.61,0,/cIztAxDn3H8JylRaJwiHHpkGe53.jpg,1239146,en,Woody Woodpecker Goes to Camp,161.359,/8XDazivGT3GAS9B03ldph4STwCv.jpg,2024-04-12,0,141,1,https://www.youtube.com/watch?v=ZYjbfLQDYvg
199,Me Before You,0,"A small town girl is caught between dead-end jobs. A high-profile, successful man becomes wheelchair bound following an accident. The man decides his life is not worth living until the girl is hired for six months to be his new caretaker. Worlds apart and trapped together by circumstance, the two get off to a rocky start. But the girl becomes determined to prove to the man that life is worth living and as they embark on a series of adventures together, each finds their world changing in ways neither of them could begin to imagine.",7.93,0,/xGzoTqbOlCR4mAzeRs4PB53i8c7.jpg,296096,en,Me Before You,161.148,/Ia3dzj5LnCj1ZBdlVeJrbKJQxG.jpg,2016-06-01,0,12144,1,https://www.youtube.com/watch?v=T0MmkG_nG1U
200,The Equalizer,0,"McCall believes he has put his mysterious past behind him and dedicated himself to beginning a new, quiet life. But when he meets Teri, a young girl under the control of ultra-violent Russian gangsters, he can’t stand idly by – he has to help her. Armed with hidden skills that allow him to serve vengeance against anyone who would brutalize the helpless, McCall comes out of his self-imposed retirement and finds his desire for justice reawakened. If someone has a problem, if the odds are stacked against them, if they have nowhere else to turn, McCall will help. He is The Equalizer.",7.276,0,/9vAoubhoZE8aSkUZoSfxs3UWZhO.jpg,156022,en,The Equalizer,160.892,/9u4yW7yPA0BQ2pv9XwiNzItwvp8.jpg,2014-09-24,0,8823,1,https://www.youtube.com/watch?v=BP_FwE0Z7no
201,Sting,0,"After raising an unnervingly talented spider in secret, 12-year-old Charlotte must face the truth about her pet and fight for her family's survival.",6.398,0,/k37Ccgu05Am1xxgN5GaW0HX9Kkl.jpg,1087388,en,Sting,160.437,/zuSAZIG1PSrxFwPeAlGtg9LTwxo.jpg,2024-04-12,0,172,1,https://www.youtube.com/watch?v=2cPHQxTVXMM
202,The Hobbit: The Battle of the Five Armies,0,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",7.322,0,/dOQjJkNr81SQTaxk7grtKcl97XK.jpg,122917,en,The Hobbit: The Battle of the Five Armies,159.971,/xT98tLqatZPQApyRmlPL12LtiWp.jpg,2014-12-10,0,13986,1,https://www.youtube.com/watch?v=Y6Fv5StfAxA
203,Blackest Darkness,0,"When a desperate man toils to to get home in time for his wife's birthday, he's gets sidetracked by Lou and Tony, who mistake him for the drill-man of a bank heist. This motley group's bizarre and illegal activities result in a strange lawman nipping at their heels. As time grows short and threatens to make him miss his wife's special day, he feels trapped by the wages of his own sin.",5.5,0,,1233486,en,Blackest Darkness,159.944,/crauRalsTGgVsF3Kue9jVwlu5nh.jpg,2024-03-29,0,3,1,https://www.youtube.com/watch?v=iPBfEEENUEw
204,Creation of the Gods I: Kingdom of Storms,0,"Based on the most well-known classical fantasy novel of China, Fengshenyanyi, the trilogy is a magnificent eastern high fantasy epic that recreates the prolonged mythical wars between humans, immortals and monsters, which happened more than three thousand years ago.",7.143,0,/2C3CdVzINUm5Cm1lrbT2uiRstwX.jpg,856289,zh,封神第一部：朝歌风云,159.688,/1v5ZteB49M0RUGYrf9R37Mz8yo2.jpg,2023-07-15,0,332,1,https://www.youtube.com/watch?v=0ucTl-cxIjc
205,Challengers,0,"Tennis player turned coach Tashi has taken her husband, Art, and transformed him into a world-famous Grand Slam champion. To jolt him out of his recent losing streak, she signs him up for a ""Challenger"" event — close to the lowest level of pro tournament — where he finds himself standing across the net from his former best friend and Tashi's former boyfriend.",7.2,0,/4CcUgdiGe83MeqJW1NyJVmZqRrF.jpg,937287,en,Challengers,158.989,/H6vke7zGiuLsz4v4RPeReb9rsv.jpg,2024-04-18,0,1196,1,https://www.youtube.com/watch?v=-2N3hmRmwHQ
206,Avatar: The Way of Water,0,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",7.622,0,/8rpDcsfLJypbO6vREc0547VKqEv.jpg,76600,en,Avatar: The Way of Water,158.623,/t6HIqrRAclMCA60NsSmeqe9RmNV.jpg,2022-12-14,0,11554,1,https://www.youtube.com/watch?v=o5F8MOz_IDw
207,Freelance,0,"An ex-special forces operative takes a job to provide security for a journalist as she interviews a dictator, but a military coup breaks out in the middle of the interview, they are forced to escape into the jungle where they must survive.",6.516,0,/zIYROrkHJPYB3VTiW1L9QVgaQO.jpg,897087,en,Freelance,157.718,/7Bd4EUOqQDKZXA6Od5gkfzRNb0.jpg,2023-10-05,0,884,1,https://www.youtube.com/watch?v=W0k2XerT8Nw
208,Unang Tikim,0,"Yuna, a woman engaged with her long time boyfriend, Nicco, starts to have second thoughts when she meets again her first love, Becca. Now she is torn between the man she loves and the woman she first loved.",0.0,0,/5r2NPZgYBB8ALBL3q4iX9AjTLJ6.jpg,1308821,tl,Unang Tikim,156.842,/3RBp3Mbb6HX9aUIzEO0ndElA72m.jpg,2024-07-07,0,0,1,https://www.youtube.com/watch?v=_Ud7ECZdMtY
209,Top Gunner: Danger Zone,0,"An airliner filled with 800 passengers is forced to fly fast and low, above farmlands, suburbs and skyscraper-packed cities or the tons of explosives aboard will detonate. When an elite unit of US Air Force fighter jets is sent to provide escort, they find themselves facing a squadron of unidentifiable warplanes which ignites a deadly air battle that threatens to destroy all life above and below.",6.0,0,/s9hW1DHfgy5ppK1fTUJuMKh4YFK.jpg,980083,en,Top Gunner: Danger Zone,156.405,/29UCk1nvPzn2XubLk5rKDMlHBRu.jpg,2022-05-20,0,34,1,https://www.youtube.com/watch?v=SG7Ds26P_Og
210,Ricky Stanicky,0,"When three childhood best friends pull a prank gone wrong, they invent the imaginary Ricky Stanicky to get them out of trouble. Twenty years later, the trio still uses the nonexistent Ricky as a handy alibi for their immature behavior. But when their spouses and partners get suspicious and demand to finally meet the fabled Mr. Stanicky, the guilty trio decide to hire a washed-up actor and raunchy celebrity impersonator to bring him to life.",6.504,0,/wfdHCilp8cNPK7tK4jLgdUT7703.jpg,1022690,en,Ricky Stanicky,154.032,/cEuX73Q1wpMypB1cr4l3MoMGpL4.jpg,2024-02-21,0,507,1,https://www.youtube.com/watch?v=WXpBN_31-Cw
211,Harry Potter and the Deathly Hallows: Part 2,0,"Harry, Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards, Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills.",8.1,0,/n5A7brJCjejceZmHyujwUTVgQNC.jpg,12445,en,Harry Potter and the Deathly Hallows: Part 2,153.893,/c54HpQmuwXjHq2C9wmoACjxoom3.jpg,2011-07-12,0,20199,1,https://www.youtube.com/watch?v=5NYt1qirBWg
212,Kalikot,0,"Sal, a hot single professor, moves across an auto service shop and rocks the world of young repairman Arnel. Ever since Sal came over to get her car fixed, Arnel's skilled hands have always been busy. But can he still fix the problems that come with it?",6.4,0,/8GixN6c1VWOWDwm32ehb0ufeal.jpg,1241748,tl,Kalikot,152.499,/bnOz6hfBTOIDYyrj8P3Pcj4uVzE.jpg,2024-03-12,0,6,1,https://www.youtube.com/watch?v=icwQ0Gipyfs
213,Pirates of the Caribbean: On Stranger Tides,0,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",6.553,0,/uzIGtyS6bbnJzGsPL93WCF1FWm8.jpg,1865,en,Pirates of the Caribbean: On Stranger Tides,152.453,/keGfSvCmYj7CvdRx36OdVrAEibE.jpg,2011-05-15,0,13740,1,https://www.youtube.com/watch?v=0BXCVe8Yww4
214,Harry Potter and the Prisoner of Azkaban,0,"Year three at Hogwarts means new fun and challenges as Harry learns the delicate art of approaching a Hippogriff, transforming shape-shifting Boggarts into hilarity and even turning back time. But the term also brings danger: soul-sucking Dementors hover over the school, an ally of the accursed He-Who-Cannot-Be-Named lurks within the castle walls, and fearsome wizard Sirius Black escapes Azkaban. And Harry will confront them all.",8.0,0,/obKmfNexgL4ZP5cAmzdL4KbHHYX.jpg,673,en,Harry Potter and the Prisoner of Azkaban,152.327,/aWxwnYoe8p2d2fcxOqtvAtJ72Rw.jpg,2004-05-31,0,21158,1,https://www.youtube.com/watch?v=VwErvYgoH70
215,Lift,0,"An international heist crew, led by Cyrus Whitaker, race to lift $500 million in gold from a passenger plane at 40,000 feet.",6.528,0,/rz8GGX5Id2hCW1KzAIY4xwbQw1w.jpg,955916,en,Lift,151.734,/h7wJI6mctrDJ9wMbFfgrBUTn1LT.jpg,2024-01-10,0,1106,1,https://www.youtube.com/watch?v=QfFasuouxQI
216,The Hunger Games: Mockingjay - Part 1,0,Katniss Everdeen reluctantly becomes the symbol of a mass rebellion against the autocratic Capitol.,6.81,0,/tFlSDoWQsAZ2qjICKzfP5Yw6zM5.jpg,131631,en,The Hunger Games: Mockingjay - Part 1,151.493,/4FAA18ZIja70d1Tu5hr5cj2q1sB.jpg,2014-11-19,0,15560,1,https://www.youtube.com/watch?v=IXshQ5mv1K8
217,Breathe,0,"Air-supply is scarce in the near future, forcing a mother and daughter to fight for survival when two strangers arrive desperate for an oxygenated haven.",5.304,0,/sHJTUdNOxy77MfiwtVIqHxCB2W.jpg,720321,en,Breathe,151.37,/wTW2t8ocWDlHns8I7vQxuqkyK58.jpg,2024-04-04,0,92,1,https://www.youtube.com/watch?v=JENDBXIfWWM
218,Spirited Away,0,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.",8.537,0,/m4TUa2ciEWSlk37rOsjiSIvZDXE.jpg,129,ja,千と千尋の神隠し,151.171,/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg,2001-07-20,0,16181,1,https://www.youtube.com/watch?v=GAp2_0JJskk
219,Expend4bles,0,"Armed with every weapon they can get their hands on and the skills to use them, The Expendables are the world’s last line of defense and the team that gets called when all other options are off the table. But new team members with new styles and tactics are going to give “new blood” a whole new meaning.",6.236,0,/rMvPXy8PUjj1o8o1pzgQbdNCsvj.jpg,299054,en,Expend4bles,150.175,/iwsMu0ehRPbtaSxqiaUDQB9qMWT.jpg,2023-09-15,0,1430,1,https://www.youtube.com/watch?v=Cm3Z1jEjHHc
220,365 Days: This Day,0,"Laura and Massimo are back and hotter than ever. But the reunited couple's new beginning is complicated by Massimo’s family ties and a mysterious man who enters Laura’s life to win her heart and trust, at any cost.",5.9,0,/zBG5Mg29NH9xxpWMMG7BIvKwYhL.jpg,829557,pl,365 dni: Ten dzień,149.683,/7qU0SOVcQ8BTJLodcAlulUAG16C.jpg,2022-04-27,0,1445,1,https://www.youtube.com/watch?v=pyM3z73oMAk
221,Black Lotus,0,An ex-special forces operative wages a one man war through the streets of Amsterdam to rescue his friend's daughter from the local crime syndicate.,6.489,0,/hvqNAz3cq48sh9GKxu4lPiogfBo.jpg,996154,en,Black Lotus,134.79,/ugy9nsQYzdoGCLJloU2rxyPqHGI.jpg,2023-04-12,0,136,1,https://www.youtube.com/watch?v=7mWuQWtcU1k
222,Blood and Snow,0,"Scientists find meteor in Arctic. It kills one, infects the other. Nearby base takes in survivor to investigate incident. Survivor's identity raises questions.",6.316,0,/xp3FD8TiDuU35kGySvmFtCi6xZy.jpg,1189205,en,Blood and Snow,131.171,/dLb9NTP9myZfS1hTf1TOso9gyNI.jpg,2023-10-06,0,38,1,https://www.youtube.com/watch?v=xKTR8QjvaeU
223,Encanto,0,"The tale of an extraordinary family, the Madrigals, who live hidden in the mountains of Colombia, in a magical house, in a vibrant town, in a wondrous, charmed place called an Encanto. The magic of the Encanto has blessed every child in the family—every child except one, Mirabel. But when she discovers that the magic surrounding the Encanto is in danger, Mirabel decides that she, the only ordinary Madrigal, might just be her exceptional family's last hope.",7.603,0,/3G1Q5xF40HkUBJXxt2DQgQzKTp5.jpg,568124,en,Encanto,137.673,/4j0PNHkMr5ax3IA8tjtxcmPU3QT.jpg,2021-10-13,0,9291,1,https://www.youtube.com/watch?v=CaimKeDcudo
224,Padre no hay más que uno 4: Campanas de boda,0,,7.875,0,/nk3RLLZiRAsUxZjtZoXTu77IN03.jpg,1030076,es,Padre no hay más que uno 4: Campanas de boda,141.57,/bDXDvPQYvnh8OKA5qJEAvHtfUp6.jpg,2024-07-17,0,4,1,
225,The Equalizer 3,0,"Robert McCall finds himself at home in Southern Italy but he discovers his friends are under the control of local crime bosses. As events turn deadly, McCall knows what he has to do: become his friends' protector by taking on the mafia.",7.346,0,/tC78Pck2YCsUAtEdZwuHYUFYtOj.jpg,926393,en,The Equalizer 3,146.272,/b0Ej6fnXAP8fK75hlyi2jKqdhHz.jpg,2023-08-30,0,2785,1,https://www.youtube.com/watch?v=fQfrzHFmVe8
226,Venom: The Last Dance,0,"Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.",0.0,0,/3V4kLQg0kSqPLctI5ziYWabAZYF.jpg,912649,en,Venom: The Last Dance,140.709,/aosm8NMQ3UyoBVpSxyimorCQykC.jpg,2024-10-23,0,0,1,https://www.youtube.com/watch?v=HyIyd9joTTc
227,The Batman,0,"In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.",7.675,0,/tRS6jvPM9qPrrnx2KRp3ew96Yot.jpg,414906,en,The Batman,138.695,/74xTEgt7R36Fpooo50r9T25onhq.jpg,2022-03-01,0,9885,1,https://www.youtube.com/watch?v=vc7_mH2PWHs
228,Hit Man,0,A mild-mannered professor moonlighting as a fake hit man in police stings ignites a chain reaction of trouble when he falls for a potential client.,6.996,0,/nv6F6tz7r61DUhE7zgHwLJFcTYp.jpg,974635,en,Hit Man,139.663,/5BfcYFhRVlgWLFo4SCkQNsIWzyy.jpg,2024-05-16,0,625,1,https://www.youtube.com/watch?v=9a7C7Bxsm90
229,Noryang: Deadly Sea,0,"The Imjin War reaches its seventh year in December of 1598. Admiral Yi Sun-shin learns that the Wa invaders in Joseon are preparing for a swift withdrawal following the deathbed orders of their leader Toyotomi Hideyoshi. Determined to destroy the enemy once and for all, Admiral Yi leads an allied fleet of Joseon and Ming ships to mount a blockade and annihilate the Wa army. However, once Ming commander Chen Lin is bribed into lifting the blockade, Wa lord Shimazu Yoshihiro and his Satsuma army sail to the Wa army’s rescue at Noryang Strait.",6.284,0,/ksZTspehDCC4PCZN8ci31pFT6yp.jpg,660360,ko,노량: 죽음의 바다,127.748,/wFAe7gA513Pi2meI4ECwf6YEKR1.jpg,2023-12-20,0,132,1,https://www.youtube.com/watch?v=HPRkiVU39I4
230,The Lion King,0,"A young lion prince is cast out of his pride by his cruel uncle, who claims he killed his father. While the uncle rules with an iron paw, the prince grows up beyond the Savannah, living by a philosophy: No worries for the rest of your days. But when his past comes to haunt him, the young prince must decide his fate: Will he remain an outcast or face his demons and become what he needs to be?",8.256,0,/wXfAvsPZqBDJ8U78F2IAzsUxtNh.jpg,8587,en,The Lion King,140.134,/sKCr78MXSLixwmZ8DyJLrpMsd15.jpg,1994-06-24,0,17953,1,https://www.youtube.com/watch?v=UgjEj5mXLlk
231,Futari wa Precure Max Heart: The Movie,0,"The Courageous Warriors of the Garden of Hope have summoned Nagisa, Honoka, and Hikari to protect their kingdom from a witch who plans to steal the Diamond Line, which is a set of jewelry the queen of the Garden of Hope wears to a ceremony every year to replenish the water of the kingdom. The witch plans to resurrect the Dark Lord and if she does so, not only will the Garden of Hope be destroyed, but other kingdoms in the galaxies, including the Garden of Rainbows and the Garden of Light.  Source: ANN",6.7,0,/uZ75qknyruQ7QlLEKTxQxax0btY.jpg,150421,ja,映画 ふたりはプリキュア Max Heart,110.462,/tXOicosGwKr8MVGIzuAVw5bgspQ.jpg,2005-04-16,0,13,1,
232,Chief of Station,0,"After learning that the death of his wife was not an accident, a former CIA Station Chief is forced back into the espionage underworld, teaming up with an adversary to unravel a conspiracy that challenges everything he thought he knew.",5.6,0,/rmNlWyez5cniGtXkgixG1ezdqVk.jpg,1093995,en,Chief of Station,169.036,/uuA01PTtPombRPvL9dvsBqOBJWm.jpg,2024-05-02,0,56,1,https://www.youtube.com/watch?v=Krsu0mazuZ4
233,Xing Lin Chun Nuan,0,,7.0,0,/4jG62l8qpkStFxifXo1Irv8HzV9.jpg,1107028,zh,杏林春暖,169.083,/jsg1BlrICE1IV5o7vYfAVuGDX5Q.jpg,1992-04-11,0,1,1,
234,Cinderella,0,"When her father unexpectedly passes away, young Ella finds herself at the mercy of her cruel stepmother and her daughters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger in the woods.",6.815,0,/q7vmCCmyiHnuKGMzHZlr0fD44b9.jpg,150689,en,Cinderella,138.288,/j91LJmcWo16CArFOoapsz84bwxb.jpg,2015-03-06,0,6969,1,https://www.youtube.com/watch?v=n44EWI92Tc8
